exported_at_picking_warehouse,picking_warehouse_id,shipping_warehouse_id,day,share
2024-08-18,1,3,4,0
2024-08-18,1,3,5,0
2024-08-18,1,3,6,0
2024-08-18,2,1,0,0
2024-08-18,2,1,1,0.07
2024-08-18,2,1,2,0.72
2024-08-18,2,1,3,0.21
2024-08-18,2,1,4,0
2024-08-18,2,1,5,0
2024-08-18,2,1,6,0
2024-08-18,2,3,0,0
2024-08-18,2,3,1,0.03
2024-08-18,2,3,2,0.82
2024-08-18,2,3,3,0.15
2024-08-18,2,3,4,0
2024-08-18,2,3,5,0
2024-08-18,2,3,6,0
2024-08-18,3,1,0,0
2024-08-18,3,1,1,0.07
2024-08-18,3,1,2,0.72
2024-08-18,3,1,3,0.21
2024-08-18,3,1,4,0
2024-08-18,3,1,5,0
2024-08-18,3,1,6,0
2024-08-18,3,2,0,0
2024-08-18,3,2,1,0.04
2024-08-18,3,2,2,0.54
2024-08-18,3,2,3,0.42
2024-08-18,3,2,4,0
2024-08-18,3,2,5,0
2024-08-18,3,2,6,0
2024-08-19,1,2,0,0.02
2024-08-19,1,2,1,0.23
2024-08-19,1,2,2,0.61
2024-08-19,1,2,3,0.14
2024-08-19,1,2,4,0
2024-08-19,1,2,5,0
2024-08-19,1,2,6,0
2024-08-19,1,3,0,0.01
2024-08-19,1,3,1,0.32
2024-08-19,1,3,2,0.67
2024-08-19,1,3,3,0
2024-08-19,1,3,4,0
2024-08-19,1,3,5,0
2024-08-19,1,3,6,0
2024-08-19,2,1,0,0.03
2024-08-19,2,1,1,0.33
2024-08-19,2,1,2,0.6
2024-08-19,2,1,3,0.04
2024-08-19,2,1,4,0
2024-08-19,2,1,5,0
2024-08-19,2,1,6,0
2024-08-19,2,3,0,0.01
2024-08-19,2,3,1,0.32
2024-08-19,2,3,2,0.67
2024-08-19,2,3,3,0
2024-08-19,2,3,4,0
2024-08-19,2,3,5,0
2024-08-19,2,3,6,0
2024-08-19,3,1,0,0.03
2024-08-19,3,1,1,0.33
2024-08-19,3,1,2,0.6
2024-08-19,3,1,3,0.04
2024-08-19,3,1,4,0
2024-08-19,3,1,5,0
2024-08-19,3,1,6,0
2024-08-19,3,2,0,0.02
2024-08-19,3,2,1,0.23
2024-08-19,3,2,2,0.61
2024-08-19,3,2,3,0.14
2024-08-19,3,2,4,0
2024-08-19,3,2,5,0
2024-08-19,3,2,6,0
2024-08-20,1,2,0,0.03
2024-08-20,1,2,1,0.43
2024-08-20,1,2,2,0.54
2024-08-20,1,2,3,0
2024-08-20,1,2,4,0
2024-08-20,1,2,5,0
2024-08-20,1,2,6,0
2024-08-20,1,3,0,0.03
2024-08-20,1,3,1,0.48
2024-08-20,1,3,2,0.48
2024-08-20,1,3,3,0.01
2024-08-20,1,3,4,0
2024-08-20,1,3,5,0
2024-08-20,1,3,6,0
2024-08-20,2,1,0,0.06
2024-08-20,2,1,1,0.43
2024-08-20,2,1,2,0.51
2024-08-20,2,1,3,0
2024-08-20,2,1,4,0
2024-08-20,2,1,5,0
2024-08-20,2,1,6,0
2024-08-20,2,3,0,0.03
2024-08-20,2,3,1,0.48
2024-08-20,2,3,2,0.48
2024-08-20,2,3,3,0.01
2024-08-20,2,3,4,0
2024-08-20,2,3,5,0
2024-08-20,2,3,6,0
2024-08-20,3,1,0,0.06
2024-08-20,3,1,1,0.43
2024-08-20,3,1,2,0.51
2024-08-20,3,1,3,0
2024-08-20,3,1,4,0
2024-08-20,3,1,5,0
2024-08-20,3,1,6,0
2024-08-20,3,2,0,0.03
2024-08-20,3,2,1,0.43
2024-08-20,3,2,2,0.54
2024-08-20,3,2,3,0
2024-08-20,3,2,4,0
2024-08-20,3,2,5,0
2024-08-20,3,2,6,0
2024-08-21,1,2,0,0.02
2024-08-21,1,2,1,0.53
2024-08-21,1,2,2,0.34
2024-08-21,1,2,3,0.11
2024-08-21,1,2,4,0
2024-08-21,1,2,5,0
2024-08-21,1,2,6,0
2024-08-21,1,3,0,0.02
2024-08-21,1,3,1,0.47
2024-08-21,1,3,2,0.46
2024-08-21,1,3,3,0.05
2024-08-21,1,3,4,0
2024-08-21,1,3,5,0
2024-08-21,1,3,6,0
2024-08-21,2,1,0,0.04
2024-08-21,2,1,1,0.43
2024-08-21,2,1,2,0.52
2024-08-21,2,1,3,0.01
2024-08-21,2,1,4,0
2024-08-21,2,1,5,0
2024-08-21,2,1,6,0
2024-08-21,2,3,0,0.02
2024-08-21,2,3,1,0.47
2024-08-21,2,3,2,0.46
2024-08-21,2,3,3,0.05
2024-08-21,2,3,4,0
2024-08-21,2,3,5,0
2024-08-21,2,3,6,0
2024-08-21,3,1,0,0.04
2024-08-21,3,1,1,0.43
2024-08-21,3,1,2,0.52
2024-08-21,3,1,3,0.01
2024-08-21,3,1,4,0
2024-08-21,3,1,5,0
2024-08-21,3,1,6,0
2024-08-21,3,2,0,0.02
2024-08-21,3,2,1,0.53
2024-08-21,3,2,2,0.34
2024-08-21,3,2,3,0.11
2024-08-21,3,2,4,0
2024-08-21,3,2,5,0
2024-08-21,3,2,6,0
2024-08-22,1,2,0,0.02
2024-08-22,1,2,1,0.41
2024-08-22,1,2,2,0.57
2024-08-22,1,2,3,0
2024-08-22,1,2,4,0
2024-08-22,1,2,5,0
2024-08-22,1,2,6,0
2024-08-22,1,3,0,0.03
2024-08-22,1,3,1,0.44
2024-08-22,1,3,2,0.53
2024-08-22,1,3,3,0
2024-08-22,1,3,4,0
2024-08-22,1,3,5,0
2024-08-22,1,3,6,0
2024-08-22,2,1,0,0.04
2024-08-22,2,1,1,0.55
2024-08-22,2,1,2,0.41
2024-08-22,2,1,3,0
2024-08-22,2,1,4,0
2024-08-22,2,1,5,0
2024-08-22,2,1,6,0
2024-08-22,2,3,0,0.03
2024-08-22,2,3,1,0.44
2024-08-22,2,3,2,0.53
2024-08-22,2,3,3,0
2024-08-22,2,3,4,0
2024-08-22,2,3,5,0
2024-08-22,2,3,6,0
2024-08-22,3,1,0,0.04
2024-08-22,3,1,1,0.55
2024-08-22,3,1,2,0.41
2024-08-22,3,1,3,0
2024-08-22,3,1,4,0
2024-08-22,3,1,5,0
2024-08-22,3,1,6,0
2024-08-22,3,2,0,0.02
2024-08-22,3,2,1,0.41
2024-08-22,3,2,2,0.57
2024-08-22,3,2,3,0
2024-08-22,3,2,4,0
2024-08-22,3,2,5,0
2024-08-22,3,2,6,0
2024-08-23,1,2,0,0.02
2024-08-23,1,2,1,0.18
2024-08-23,1,2,2,0
2024-08-23,1,2,3,0.8
2024-08-23,1,2,4,0
2024-08-23,1,2,5,0
2024-08-23,1,2,6,0
2024-08-23,1,3,0,0.02
2024-08-23,1,3,1,0.3
2024-08-23,1,3,2,0
2024-08-23,1,3,3,0.68
2024-08-23,1,3,4,0
2024-08-23,1,3,5,0
2024-08-23,1,3,6,0
2024-08-23,2,1,0,0.04
2024-08-23,2,1,1,0.4
2024-08-23,2,1,2,0
2024-08-23,2,1,3,0.56
2024-08-23,2,1,4,0
2024-08-23,2,1,5,0
2024-08-23,2,1,6,0
2024-08-23,2,3,0,0.02
2024-08-23,2,3,1,0.3
2024-08-23,2,3,2,0
2024-08-23,2,3,3,0.68
2024-08-23,2,3,4,0
2024-08-23,2,3,5,0
2024-08-23,2,3,6,0
2024-08-23,3,1,0,0.04
2024-08-23,3,1,1,0.4
2024-08-23,3,1,2,0
2024-08-23,3,1,3,0.56
2024-08-23,3,1,4,0
2024-08-23,3,1,5,0
2024-08-23,3,1,6,0
2024-08-23,3,2,0,0.02
2024-08-23,3,2,1,0.18
2024-08-23,3,2,2,0
2024-08-23,3,2,3,0.8
2024-08-23,3,2,4,0
2024-08-23,3,2,5,0
2024-08-23,3,2,6,0
2024-08-24,1,2,0,0.02
2024-08-24,1,2,1,0
2024-08-24,1,2,2,0.38
2024-08-24,1,2,3,0.6
2024-08-24,1,2,4,0
2024-08-24,1,2,5,0
2024-08-24,1,2,6,0
2024-08-24,1,3,0,0.01
2024-08-24,1,3,1,0
2024-08-24,1,3,2,0.28
2024-08-24,1,3,3,0.71
2024-08-24,1,3,4,0
2024-08-24,1,3,5,0
2024-08-24,1,3,6,0
2024-08-24,2,1,0,0.01
2024-08-24,2,1,1,0
2024-08-24,2,1,2,0.53
2024-08-24,2,1,3,0.46
2024-08-24,2,1,4,0
2024-08-24,2,1,5,0
2024-08-24,2,1,6,0
2024-08-24,2,3,0,0.01
2024-08-24,2,3,1,0
2024-08-24,2,3,2,0.28
2024-08-24,2,3,3,0.71
2024-08-24,2,3,4,0
2024-08-24,2,3,5,0
2024-08-24,2,3,6,0
2024-08-24,3,1,0,0.01
2024-08-24,3,1,1,0
2024-08-24,3,1,2,0.53
2024-08-24,3,1,3,0.46
2024-08-24,3,1,4,0
2024-08-24,3,1,5,0
2024-08-24,3,1,6,0
2024-08-24,3,2,0,0.02
2024-08-24,3,2,1,0
2024-08-24,3,2,2,0.38
2024-08-24,3,2,3,0.6
2024-08-24,3,2,4,0
2024-08-24,3,2,5,0
2024-08-24,3,2,6,0
2024-08-25,1,2,0,0
2024-08-25,1,2,1,0.04
2024-08-25,1,2,2,0.54
2024-08-25,1,2,3,0.42
2024-08-25,1,2,4,0
2024-08-25,1,2,5,0
2024-08-25,1,2,6,0
2024-08-25,1,3,0,0
2024-08-25,1,3,1,0.03
2024-08-25,1,3,2,0.82
2024-08-25,1,3,3,0.15
2024-08-25,1,3,4,0
2024-08-25,1,3,5,0
2024-08-25,1,3,6,0
2024-08-25,2,1,0,0
2024-08-25,2,1,1,0.07
2024-08-25,2,1,2,0.72
2024-08-25,2,1,3,0.21
2024-08-25,2,1,4,0
2024-08-25,2,1,5,0
2024-08-25,2,1,6,0
2024-08-25,2,3,0,0
2024-08-25,2,3,1,0.03
2024-08-25,2,3,2,0.82
2024-08-25,2,3,3,0.15
2024-08-25,2,3,4,0
2024-08-25,2,3,5,0
2024-08-25,2,3,6,0
2024-08-25,3,1,0,0
2024-08-25,3,1,1,0.07
2024-08-25,3,1,2,0.72
2024-08-25,3,1,3,0.21
2024-08-25,3,1,4,0
2024-08-25,3,1,5,0
2024-08-25,3,1,6,0
2024-08-25,3,2,0,0
2024-08-25,3,2,1,0.04
2024-08-25,3,2,2,0.54
2024-08-25,3,2,3,0.42
2024-08-25,3,2,4,0
2024-08-25,3,2,5,0
2024-08-25,3,2,6,0
2024-08-26,1,2,0,0.02
2024-08-26,1,2,1,0.23
2024-08-26,1,2,2,0.61
2024-08-26,1,2,3,0
2024-08-26,1,2,4,0.14
2024-08-26,1,2,5,0
2024-08-26,1,2,6,0
2024-08-26,1,3,0,0.01
2024-08-26,1,3,1,0.32
2024-08-26,1,3,2,0.67
2024-08-26,1,3,3,0
2024-08-26,1,3,4,0
2024-08-26,1,3,5,0
2024-08-26,1,3,6,0
2024-08-26,2,1,0,0.03
2024-08-26,2,1,1,0.33
2024-08-26,2,1,2,0.6
2024-08-26,2,1,3,0.04
2024-08-26,2,1,4,0
2024-08-26,2,1,5,0
2024-08-26,2,1,6,0
2024-08-26,2,3,0,0.01
2024-08-26,2,3,1,0.32
2024-08-26,2,3,2,0.67
2024-08-26,2,3,3,0
2024-08-26,2,3,4,0
2024-08-26,2,3,5,0
2024-08-26,2,3,6,0
2024-08-26,3,1,0,0.03
2024-08-26,3,1,1,0.33
2024-08-26,3,1,2,0.6
2024-08-26,3,1,3,0.04
2024-08-26,3,1,4,0
2024-08-26,3,1,5,0
2024-08-26,3,1,6,0
2024-08-26,3,2,0,0.02
2024-08-26,3,2,1,0.23
2024-08-26,3,2,2,0.61
2024-08-26,3,2,3,0
2024-08-26,3,2,4,0.14
2024-08-26,3,2,5,0
2024-08-26,3,2,6,0
2024-08-27,1,2,0,0.03
2024-08-27,1,2,1,0.43
2024-08-27,1,2,2,0
2024-08-27,1,2,3,0.54
2024-08-27,1,2,4,0
2024-08-27,1,2,5,0
2024-08-27,1,2,6,0
2024-08-27,1,3,0,0.03
2024-08-27,1,3,1,0.48
2024-08-27,1,3,2,0.48
2024-08-27,1,3,3,0.01
2024-08-27,1,3,4,0
2024-08-27,1,3,5,0
2024-08-27,1,3,6,0
2024-08-27,2,1,0,0.06
2024-08-27,2,1,1,0.43
2024-08-27,2,1,2,0.51
2024-08-27,2,1,3,0
2024-08-27,2,1,4,0
2024-08-27,2,1,5,0
2024-08-27,2,1,6,0
2024-08-27,2,3,0,0.03
2024-08-27,2,3,1,0.48
2024-08-27,2,3,2,0.48
2024-08-27,2,3,3,0
2024-08-27,2,3,4,0.01
2024-08-27,2,3,5,0
2024-08-27,2,3,6,0
2024-08-27,3,1,0,0.06
2024-08-27,3,1,1,0.43
2024-08-27,3,1,2,0.51
2024-08-27,3,1,3,0
2024-08-27,3,1,4,0
2024-08-27,3,1,5,0
2024-08-27,3,1,6,0
2024-08-27,3,2,0,0.03
2024-08-27,3,2,1,0.43
2024-08-27,3,2,2,0
2024-08-27,3,2,3,0.54
2024-08-27,3,2,4,0
2024-08-27,3,2,5,0
2024-08-27,3,2,6,0
2024-08-28,1,2,0,0.02
2024-08-28,1,2,1,0
2024-08-28,1,2,2,0.605
2024-08-28,1,2,3,0.375
2024-08-28,1,2,4,0
2024-08-28,1,2,5,0
2024-08-28,1,2,6,0
2024-08-28,1,3,0,0.02
2024-08-28,1,3,1,0.47
2024-08-28,1,3,2,0.46
2024-08-28,1,3,3,0.05
2024-08-28,1,3,4,0
2024-08-28,1,3,5,0
2024-08-28,1,3,6,0
2024-08-28,2,1,0,0.04
2024-08-28,2,1,1,0.43
2024-08-28,2,1,2,0
2024-08-28,2,1,3,0.53
2024-08-28,2,1,4,0
2024-08-28,2,1,5,0
2024-08-28,2,1,6,0
2024-08-28,2,3,0,0.02
2024-08-28,2,3,1,0.47
2024-08-28,2,3,2,0
2024-08-28,2,3,3,0.51
2024-08-28,2,3,4,0
2024-08-28,2,3,5,0
2024-08-28,2,3,6,0
2024-08-28,3,1,0,0.04
2024-08-28,3,1,1,0.43
2024-08-28,3,1,2,0.52
2024-08-28,3,1,3,0.01
2024-08-28,3,1,4,0
2024-08-28,3,1,5,0
2024-08-28,3,1,6,0
2024-08-28,3,2,0,0.02
2024-08-28,3,2,1,0
2024-08-28,3,2,2,0.605
2024-08-28,3,2,3,0.375
2024-08-28,3,2,4,0
2024-08-28,3,2,5,0
2024-08-28,3,2,6,0
2024-08-29,1,2,0,0
2024-08-29,1,2,1,0.43
2024-08-29,1,2,2,0.57
2024-08-29,1,2,3,0
2024-08-29,1,2,4,0
2024-08-29,1,2,5,0
2024-08-29,1,2,6,0
2024-08-29,1,3,0,0.03
2024-08-29,1,3,1,0.44
2024-08-29,1,3,2,0.53
2024-08-29,1,3,3,0
2024-08-29,1,3,4,0
2024-08-29,1,3,5,0
2024-08-29,1,3,6,0
2024-08-29,2,1,0,0
2024-08-29,2,1,1,0
2024-08-29,2,1,2,1
2024-08-29,2,1,3,0
2024-08-29,2,1,4,0
2024-08-29,2,1,5,0
2024-08-29,2,1,6,0
2024-08-29,2,3,0,0
2024-08-29,2,3,1,0
2024-08-29,2,3,2,1
2024-08-29,2,3,3,0
2024-08-29,2,3,4,0
2024-08-29,2,3,5,0
2024-08-29,2,3,6,0
2024-08-29,3,1,0,0.04
2024-08-29,3,1,1,0.55
2024-08-29,3,1,2,0.41
2024-08-29,3,1,3,0
2024-08-29,3,1,4,0
2024-08-29,3,1,5,0
2024-08-29,3,1,6,0
2024-08-29,3,2,0,0
2024-08-29,3,2,1,0.43
2024-08-29,3,2,2,0.57
2024-08-29,3,2,3,0
2024-08-29,3,2,4,0
2024-08-29,3,2,5,0
2024-08-29,3,2,6,0
2024-08-30,1,2,0,0.02
2024-08-30,1,2,1,0.18
2024-08-30,1,2,2,0
2024-08-30,1,2,3,0.8
2024-08-30,1,2,4,0
2024-08-30,1,2,5,0
2024-08-30,1,2,6,0
2024-08-30,1,3,0,0.02
2024-08-30,1,3,1,0.3
2024-08-30,1,3,2,0
2024-08-30,1,3,3,0.68
2024-08-30,1,3,4,0
2024-08-30,1,3,5,0
2024-08-30,1,3,6,0
2024-08-30,2,1,0,0
2024-08-30,2,1,1,0.44
2024-08-30,2,1,2,0
2024-08-30,2,1,3,0
2024-08-30,2,1,4,0.56
2024-08-30,2,1,5,0
2024-08-30,2,1,6,0
2024-08-30,2,3,0,0
2024-08-30,2,3,1,0.32
2024-08-30,2,3,2,0
2024-08-30,2,3,3,0
2024-08-30,2,3,4,0.68
2024-08-30,2,3,5,0
2024-08-30,2,3,6,0
2024-08-30,3,1,0,0.04
2024-08-30,3,1,1,0.4
2024-08-30,3,1,2,0
2024-08-30,3,1,3,0.56
2024-08-30,3,1,4,0
2024-08-30,3,1,5,0
2024-08-30,3,1,6,0
2024-08-30,3,2,0,0.02
2024-08-30,3,2,1,0.18
2024-08-30,3,2,2,0
2024-08-30,3,2,3,0.8
2024-08-30,3,2,4,0
2024-08-30,3,2,5,0
2024-08-30,3,2,6,0
2024-08-31,1,2,0,0.02
2024-08-31,1,2,1,0
2024-08-31,1,2,2,0.38
2024-08-31,1,2,3,0.6
2024-08-31,1,2,4,0
2024-08-31,1,2,5,0
2024-08-31,1,2,6,0
2024-08-31,1,3,0,0.01
2024-08-31,1,3,1,0
2024-08-31,1,3,2,0.28
2024-08-31,1,3,3,0.71
2024-08-31,1,3,4,0
2024-08-31,1,3,5,0
2024-08-31,1,3,6,0
2024-08-31,2,1,0,0.01
2024-08-31,2,1,1,0
2024-08-31,2,1,2,0
2024-08-31,2,1,3,0.53
2024-08-31,2,1,4,0.46
2024-08-31,2,1,5,0
2024-08-31,2,1,6,0
2024-08-31,2,3,0,0.01
2024-08-31,2,3,1,0
2024-08-31,2,3,2,0
2024-08-31,2,3,3,0.28
2024-08-31,2,3,4,0.71
2024-08-31,2,3,5,0
2024-08-31,2,3,6,0
2024-08-31,3,1,0,0.01
2024-08-31,3,1,1,0
2024-08-31,3,1,2,0.53
2024-08-31,3,1,3,0.46
2024-08-31,3,1,4,0
2024-08-31,3,1,5,0
2024-08-31,3,1,6,0
2024-08-31,3,2,0,0.02
2024-08-31,3,2,1,0
2024-08-31,3,2,2,0.38
2024-08-31,3,2,3,0.6
2024-08-31,3,2,4,0
2024-08-31,3,2,5,0
2024-08-31,3,2,6,0
2024-09-01,1,2,0,0
2024-09-01,1,2,1,0.04
2024-09-01,1,2,2,0.54
2024-09-01,1,2,3,0.42
2024-09-01,1,2,4,0
2024-09-01,1,2,5,0
2024-09-01,1,2,6,0
2024-09-01,1,3,0,0
2024-09-01,1,3,1,0.03
2024-09-01,1,3,2,0.82
2024-09-01,1,3,3,0.15
2024-09-01,1,3,4,0
2024-09-01,1,3,5,0
2024-09-01,1,3,6,0
2024-09-01,2,1,0,0
2024-09-01,2,1,1,0
2024-09-01,2,1,2,0.07
2024-09-01,2,1,3,0.72
2024-09-01,2,1,4,0.21
2024-09-01,2,1,5,0
2024-09-01,2,1,6,0
2024-09-01,2,3,0,0
2024-09-01,2,3,1,0
2024-09-01,2,3,2,0.03
2024-09-01,2,3,3,0.82
2024-09-01,2,3,4,0.15
2024-09-01,2,3,5,0
2024-09-01,2,3,6,0
2024-09-01,3,1,0,0
2024-09-01,3,1,1,0.07
2024-09-01,3,1,2,0.72
2024-09-01,3,1,3,0.21
2024-09-01,3,1,4,0
2024-09-01,3,1,5,0
2024-09-01,3,1,6,0
2024-09-01,3,2,0,0
2024-09-01,3,2,1,0.04
2024-09-01,3,2,2,0.54
2024-09-01,3,2,3,0.42
2024-09-01,3,2,4,0
2024-09-01,3,2,5,0
2024-09-01,3,2,6,0
2024-09-02,1,2,0,0.02
2024-09-02,1,2,1,0.23
2024-09-02,1,2,2,0.61
2024-09-02,1,2,3,0.14
2024-09-02,1,2,4,0
2024-09-02,1,2,5,0
2024-09-02,1,2,6,0
2024-09-02,1,3,0,0.01
2024-09-02,1,3,1,0.32
2024-09-02,1,3,2,0.67
2024-09-02,1,3,3,0
2024-09-02,1,3,4,0
2024-09-02,1,3,5,0
2024-09-02,1,3,6,0
2024-09-02,2,1,0,0
2024-09-02,2,1,1,0.36
2024-09-02,2,1,2,0.6
2024-09-02,2,1,3,0.04
2024-09-02,2,1,4,0
2024-09-02,2,1,5,0
2024-09-02,2,1,6,0
2024-09-02,2,3,0,0
2024-09-02,2,3,1,0.33
2024-09-02,2,3,2,0.67
2024-09-02,2,3,3,0
2024-09-02,2,3,4,0
2024-09-02,2,3,5,0
2024-09-02,2,3,6,0
2024-09-02,3,1,0,0.03
2024-09-02,3,1,1,0.33
2024-09-02,3,1,2,0.6
2024-09-02,3,1,3,0.04
2024-09-02,3,1,4,0
2024-09-02,3,1,5,0
2024-09-02,3,1,6,0
2024-09-02,3,2,0,0.02
2024-09-02,3,2,1,0.23
2024-09-02,3,2,2,0.61
2024-09-02,3,2,3,0.14
2024-09-02,3,2,4,0
2024-09-02,3,2,5,0
2024-09-02,3,2,6,0
2024-09-03,1,2,0,0.03
2024-09-03,1,2,1,0.43
2024-09-03,1,2,2,0.54
2024-09-03,1,2,3,0
2024-09-03,1,2,4,0
2024-09-03,1,2,5,0
2024-09-03,1,2,6,0
2024-09-03,1,3,0,0.03
2024-09-03,1,3,1,0.48
2024-09-03,1,3,2,0.48
2024-09-03,1,3,3,0.01
2024-09-03,1,3,4,0
2024-09-03,1,3,5,0
2024-09-03,1,3,6,0
2024-09-03,2,1,0,0.06
2024-09-03,2,1,1,0.43
2024-09-03,2,1,2,0.51
2024-09-03,2,1,3,0
2024-09-03,2,1,4,0
2024-09-03,2,1,5,0
2024-09-03,2,1,6,0
2024-09-03,2,3,0,0.03
2024-09-03,2,3,1,0.48
2024-09-03,2,3,2,0.48
2024-09-03,2,3,3,0.01
2024-09-03,2,3,4,0
2024-09-03,2,3,5,0
2024-09-03,2,3,6,0
2024-09-03,3,1,0,0.06
2024-09-03,3,1,1,0.43
2024-09-03,3,1,2,0.51
2024-09-03,3,1,3,0
2024-09-03,3,1,4,0
2024-09-03,3,1,5,0
2024-09-03,3,1,6,0
2024-09-03,3,2,0,0.03
2024-09-03,3,2,1,0.43
2024-09-03,3,2,2,0.54
2024-09-03,3,2,3,0
2024-09-03,3,2,4,0
2024-09-03,3,2,5,0
2024-09-03,3,2,6,0
2024-09-04,1,2,0,0.02
2024-09-04,1,2,1,0.53
2024-09-04,1,2,2,0.45
2024-09-04,1,2,3,0
2024-09-04,1,2,4,0
2024-09-04,1,2,5,0
2024-09-04,1,2,6,0
2024-09-04,1,3,0,0.02
2024-09-04,1,3,1,0.47
2024-09-04,1,3,2,0.46
2024-09-04,1,3,3,0.05
2024-09-04,1,3,4,0
2024-09-04,1,3,5,0
2024-09-04,1,3,6,0
2024-09-04,2,1,0,0.04
2024-09-04,2,1,1,0.43
2024-09-04,2,1,2,0.52
2024-09-04,2,1,3,0.01
2024-09-04,2,1,4,0
2024-09-04,2,1,5,0
2024-09-04,2,1,6,0
2024-09-04,2,3,0,0.02
2024-09-04,2,3,1,0.47
2024-09-04,2,3,2,0.46
2024-09-04,2,3,3,0.05
2024-09-04,2,3,4,0
2024-09-04,2,3,5,0
2024-09-04,2,3,6,0
2024-09-04,3,1,0,0.04
2024-09-04,3,1,1,0.43
2024-09-04,3,1,2,0.52
2024-09-04,3,1,3,0.01
2024-09-04,3,1,4,0
2024-09-04,3,1,5,0
2024-09-04,3,1,6,0
2024-09-04,3,2,0,0.02
2024-09-04,3,2,1,0.53
2024-09-04,3,2,2,0.45
2024-09-04,3,2,3,0
2024-09-04,3,2,4,0
2024-09-04,3,2,5,0
2024-09-04,3,2,6,0
2024-09-05,1,2,0,0.02
2024-09-05,1,2,1,0.41
2024-09-05,1,2,2,0
2024-09-05,1,2,3,0
2024-09-05,1,2,4,0.57
2024-09-05,1,2,5,0
2024-09-05,1,2,6,0
2024-09-05,1,3,0,0.03
2024-09-05,1,3,1,0.44
2024-09-05,1,3,2,0.53
2024-09-05,1,3,3,0
2024-09-05,1,3,4,0
2024-09-05,1,3,5,0
2024-09-05,1,3,6,0
2024-09-05,2,1,0,0.04
2024-09-05,2,1,1,0.55
2024-09-05,2,1,2,0.41
2024-09-05,2,1,3,0
2024-09-05,2,1,4,0
2024-09-05,2,1,5,0
2024-09-05,2,1,6,0
2024-09-05,2,3,0,0.03
2024-09-05,2,3,1,0.44
2024-09-05,2,3,2,0.53
2024-09-05,2,3,3,0
2024-09-05,2,3,4,0
2024-09-05,2,3,5,0
2024-09-05,2,3,6,0
2024-09-05,3,1,0,0.04
2024-09-05,3,1,1,0.55
2024-09-05,3,1,2,0.41
2024-09-05,3,1,3,0
2024-09-05,3,1,4,0
2024-09-05,3,1,5,0
2024-09-05,3,1,6,0
2024-09-05,3,2,0,0.02
2024-09-05,3,2,1,0.41
2024-09-05,3,2,2,0
2024-09-05,3,2,3,0
2024-09-05,3,2,4,0.57
2024-09-05,3,2,5,0
2024-09-05,3,2,6,0
2024-09-06,1,2,0,0.02
2024-09-06,1,2,1,0
2024-09-06,1,2,2,0
2024-09-06,1,2,3,0.98
2024-09-06,1,2,4,0
2024-09-06,1,2,5,0
2024-09-06,1,2,6,0
2024-09-06,1,3,0,0.02
2024-09-06,1,3,1,0.3
2024-09-06,1,3,2,0
2024-09-06,1,3,3,0.68
2024-09-06,1,3,4,0
2024-09-06,1,3,5,0
2024-09-06,1,3,6,0
2024-09-06,2,1,0,0.04
2024-09-06,2,1,1,0.4
2024-09-06,2,1,2,0
2024-09-06,2,1,3,0
2024-09-06,2,1,4,0.56
2024-09-06,2,1,5,0
2024-09-06,2,1,6,0
2024-09-06,2,3,0,0.02
2024-09-06,2,3,1,0.3
2024-09-06,2,3,2,0
2024-09-06,2,3,3,0
2024-09-06,2,3,4,0.68
2024-09-06,2,3,5,0
2024-09-06,2,3,6,0
2024-09-06,3,1,0,0.04
2024-09-06,3,1,1,0.4
2024-09-06,3,1,2,0
2024-09-06,3,1,3,0.56
2024-09-06,3,1,4,0
2024-09-06,3,1,5,0
2024-09-06,3,1,6,0
2024-09-06,3,2,0,0.02
2024-09-06,3,2,1,0
2024-09-06,3,2,2,0
2024-09-06,3,2,3,0.98
2024-09-06,3,2,4,0
2024-09-06,3,2,5,0
2024-09-06,3,2,6,0
2024-09-07,1,2,0,0
2024-09-07,1,2,1,0
2024-09-07,1,2,2,0.4
2024-09-07,1,2,3,0.6
2024-09-07,1,2,4,0
2024-09-07,1,2,5,0
2024-09-07,1,2,6,0
2024-09-07,1,3,0,0.01
2024-09-07,1,3,1,0
2024-09-07,1,3,2,0.28
2024-09-07,1,3,3,0.71
2024-09-07,1,3,4,0
2024-09-07,1,3,5,0
2024-09-07,1,3,6,0
2024-09-07,2,1,0,0.01
2024-09-07,2,1,1,0
2024-09-07,2,1,2,0
2024-09-07,2,1,3,0.99
2024-09-07,2,1,4,0
2024-09-07,2,1,5,0
2024-09-07,2,1,6,0
2024-09-07,2,3,0,0.01
2024-09-07,2,3,1,0
2024-09-07,2,3,2,0
2024-09-07,2,3,3,0.99
2024-09-07,2,3,4,0
2024-09-07,2,3,5,0
2024-09-07,2,3,6,0
2024-09-07,3,1,0,0.01
2024-09-07,3,1,1,0
2024-09-07,3,1,2,0.53
2024-09-07,3,1,3,0.46
2024-09-07,3,1,4,0
2024-09-07,3,1,5,0
2024-09-07,3,1,6,0
2024-09-07,3,2,0,0
2024-09-07,3,2,1,0
2024-09-07,3,2,2,0.4
2024-09-07,3,2,3,0.6
2024-09-07,3,2,4,0
2024-09-07,3,2,5,0
2024-09-07,3,2,6,0
2024-09-08,1,2,0,0
2024-09-08,1,2,1,0.04
2024-09-08,1,2,2,0.54
2024-09-08,1,2,3,0.42
2024-09-08,1,2,4,0
2024-09-08,1,2,5,0
2024-09-08,1,2,6,0
2024-09-08,1,3,0,0
